COR,Assigned
Afghanistan,South Asia and Middle East
Albania,"Africa, Europe"
Algeria,"Africa, Europe"
American Samoa,"Americas, Oceania"
Andorra,"Africa, Europe"
Angola,"Africa, Europe"
Anguilla,"Americas, Oceania"
Antarctica,"Americas, Oceania"
Antigua and Barbuda,"Americas, Oceania"
Argentina,"Americas, Oceania"
Armenia,"Africa, Europe"
Aruba,"Americas, Oceania"
Australia,"Americas, Oceania"
Austria,"Africa, Europe"
Azerbaijan,"Africa, Europe"
Bahamas,"Americas, Oceania"
Bahrain,South Asia and Middle East
Bangladesh,South Asia and Middle East
Barbados,"Americas, Oceania"
Belarus,"Africa, Europe"
Belgium,"Africa, Europe"
Belize,"Africa, Europe"
Benin,"Africa, Europe"
Bermuda,"Americas, Oceania"
Bhutan,South East Asia 
"Bolivia, Plurinational State of","Americas, Oceania"
"Bonaire, Sint Eustatius and Saba","Americas, Oceania"
Bosnia and Herzegovina,"Africa, Europe"
Botswana,"Africa, Europe"
Bouvet Island,"Africa, Europe"
Brazil,"Americas, Oceania"
British Indian Ocean Territory,South Asia and Middle East
Brunei Darussalam,South East Asia 
Bulgaria,"Africa, Europe"
Burkina Faso,"Africa, Europe"
Burundi,"Africa, Europe"
Cambodia,South East Asia 
Cameroon,"Africa, Europe"
Canada,"Americas, Oceania"
Cape Verde,"Africa, Europe"
Cayman Islands,"Americas, Oceania"
Central African Republic,"Africa, Europe"
Chad,"Africa, Europe"
Chile,"Americas, Oceania"
China,South East Asia 
Christmas Island,"Americas, Oceania"
Cocos (Keeling) Islands,"Americas, Oceania"
Colombia,"Americas, Oceania"
Comoros,"Africa, Europe"
Congo,"Africa, Europe"
"Congo, the Democratic Republic of the","Africa, Europe"
Cook Islands,"Americas, Oceania"
Costa Rica,"Americas, Oceania"
Croatia,"Africa, Europe"
Cuba,"Americas, Oceania"
Curaçao,"Americas, Oceania"
Cyprus,"Africa, Europe"
Czech Republic,"Africa, Europe"
Côte d'Ivoire,"Africa, Europe"
Denmark,"Africa, Europe"
Djibouti,"Africa, Europe"
Dominica,"Americas, Oceania"
Dominican Republic,"Americas, Oceania"
Ecuador,"Americas, Oceania"
Egypt,"Africa, Europe"
El Salvador,"Americas, Oceania"
Equatorial Guinea,"Africa, Europe"
Eritrea,"Africa, Europe"
Estonia,"Africa, Europe"
Ethiopia,"Africa, Europe"
Falkland Islands (Malvinas),"Americas, Oceania"
Faroe Islands,"Africa, Europe"
Fiji,"Americas, Oceania"
Finland,"Africa, Europe"
France,"Africa, Europe"
French Guiana,"Americas, Oceania"
French Polynesia,"Americas, Oceania"
French Southern Territories,"Africa, Europe"
Gabon,"Africa, Europe"
Gambia,"Africa, Europe"
Georgia,"Africa, Europe"
Germany,"Africa, Europe"
Ghana,"Africa, Europe"
Gibraltar,"Africa, Europe"
Greece,"Africa, Europe"
Greenland,"Africa, Europe"
Grenada,"Americas, Oceania"
Guadeloupe,"Americas, Oceania"
Guam,"Africa, Europe"
Guatemala,"Americas, Oceania"
Guernsey,"Africa, Europe"
Guinea,"Americas, Oceania"
Guinea-Bissau,"Africa, Europe"
Guyana,"Americas, Oceania"
Haiti,"Americas, Oceania"
Heard Island and McDonald Islands,"Americas, Oceania"
Holy See (Vatican City State),"Africa, Europe"
Honduras,"Americas, Oceania"
"Hong Kong, Special Administrative Region of China",South East Asia 
Hungary,"Africa, Europe"
Iceland,"Africa, Europe"
India,South Asia and Middle East
Indonesia,South East Asia 
"Iran, Islamic Republic of",South Asia and Middle East
Iraq,South Asia and Middle East
Ireland,"Africa, Europe"
Isle of Man,"Africa, Europe"
Israel,South Asia and Middle East
Italy,"Africa, Europe"
Jamaica,"Americas, Oceania"
Japan,South East Asia 
Jersey,"Africa, Europe"
Jordan,South Asia and Middle East
Kazakhstan,"Africa, Europe"
Kenya,"Africa, Europe"
Kiribati,"Americas, Oceania"
"Korea, Democratic People's Republic of (North)",South East Asia 
"Korea, Republic of (South)",South East Asia 
Kuwait,South Asia and Middle East
Kyrgyzstan,"Africa, Europe"
Lao People's Democratic Republic,South East Asia 
Latvia,"Africa, Europe"
Lebanon,"Africa, Europe"
Lesotho,"Africa, Europe"
